"filename", "language", "C#", "comment", "blank", "total"
"f:\Kepler\Kepler\Assets\Scripts\Physic\ITrackCalculator.cs", "C#", 11, 0, 3, 14
"f:\Kepler\Kepler\Assets\Scripts\Physic\Planet.cs", "C#", 63, 4, 18, 85
"f:\Kepler\Kepler\Assets\Scripts\Physic\Satellite.cs", "C#", 43, 8, 12, 63
"Total", "-", 117, 12, 33, 162
