"filename", "language", "ShaderLab", "comment", "blank", "total"
"g:\Kepler\Kepler\Assets\Arts\Shaders\AuroraSky.shader", "ShaderLab", 264, 31, 79, 374
"g:\Kepler\Kepler\Assets\Arts\Shaders\Mix.shader", "ShaderLab", 48, 1, 10, 59
"g:\Kepler\Kepler\Assets\Arts\Shaders\OrbitLine.shader", "ShaderLab", 52, 6, 7, 65
"g:\Kepler\Kepler\Assets\Arts\Shaders\Outline.shader", "ShaderLab", 97, 3, 15, 115
"g:\Kepler\Kepler\Assets\Arts\Shaders\Space.shader", "ShaderLab", 280, 25, 63, 368
"g:\Kepler\Kepler\Assets\Arts\Shaders\UIBlur.shader", "ShaderLab", 132, 0, 25, 157
"g:\Kepler\Kepler\Assets\Arts\Shaders\UiLine.shader", "ShaderLab", 53, 6, 7, 66
"Total", "-", 926, 72, 206, 1204
